trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
238,False,"{'a': 0.3, 'e': 0.09255057751034329}",20,0,12.670008792828632,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
239,False,"{'a': 0.3, 'e': 0.09162968387750484}",20,14,11.013430086084368,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.3, 'e': 0.09071795328941251}",20,0,28.861989898343317,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
241,False,"{'a': 0.3, 'e': 0.08981529457224763}",35,21,11.334499474159625,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.3, 'e': 0.08892161745938634}",20,13,1.1516510997241065,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.3, 'e': 0.08803683258237255}",30,15,26.572150134067005,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.3, 'e': 0.0871608514619813}",20,10,22.795916046924106,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.3, 'e': 0.0862935864993705}",25,20,11.971735994242223,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.3, 'e': 0.08543495096732123}",25,0,4.019418216846748,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
247,False,"{'a': 0.3, 'e': 0.08458485900156469}",35,27,4.9751241118183,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.3, 'e': 0.08374322559219596}",20,7,-0.6851349278237229,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
249,False,"{'a': 0.3, 'e': 0.08290996657517266}",20,3,23.341685869591707,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.3, 'e': 0.0820849986238988}",20,3,15.240271420210208,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.3, 'e': 0.08126823924089167}",20,4,24.80236757206007,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.3, 'e': 0.08045960674953244}",20,12,13.682529082608738,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
